took_pre_CC,took_post_CC,CC_ConsensusTemp_pre,CC_Important_pre,CC_HarmPeople_pre,CC_ScientistsWhether_pre,CC_Beliefs_pre,CC_Worried_pre,CC_BeliefsFillIn_pre,CC_ChangeMind_pre,CC_Validation_pre,CC_HarmYou_pre,CC_ScientistsWhy_pre,CC_Happening_pre,CC_ConsensusCause_pre,CC_Thought_pre,CC_Friends_pre,CC_View_pre,CC_HarmPeople_post,CC_Thought_post,CC_Beliefs_post,CC_Worried_post,CC_ConsensusCause_post,CC_View_post,CC_ScientistsWhether_post,CC_BeliefsFillIn_post,CC_ChangeMind_post,CC_ConsensusTemp_post,CC_Validation_post,CC_Important_post,CC_Friends_post,CC_ChangedMe_post,CC_HarmYou_post,CC_Happening_post,CC_ScientistsWhy_post
1,0,SomewhatAgree,Neither,Years10,StronglyAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,DK,YesSomeSure,DK,Some,Some,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Years26to50,StronglyAgree,Humans,Somewhat,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Neither,Now,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,StronglyAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,DK,,,,,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,All,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Extremely,Years26to50,SomewhatAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Now,SomewhatAgree,Both,Very,,Neither,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,ALot,Most,Unclear,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatAgree,StronglyAgree,SomewhatAgree,Very,Some,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Extremely,Years10,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatDisagree,Moderate,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,,Neither,GreatDeal,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Very,Now,StronglyAgree,Both,Very,,SomewhatAgree,SomewhatAgree,GreatDeal,SomewhatAgree,YesVerySure,Humans,Little,Some,Unclear,Now,Some,Humans,Very,Humans,DontNeed,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,Neither,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,Some,Both,NotVery,Natural,Unclear,SomewhatDisagree,didn't take the class,SomewhatDisagree,SomewhatDisagree,SomewhatDisagree,Very,Some,SomewhatAgree,Moderate,YesExtrSure,SomewhatDisagree
1,1,StronglyAgree,Extremely,Now,SomewhatDisagree,Other,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,Neither,YesExtrSure,Humans,ALot,DK,Unwilling,Now,ALot,Humans,Very,Humans,Unwilling,SomewhatDisagree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,DK,Neither,GreatDeal,YesExtrSure,Neither
1,1,StronglyAgree,Very,Years26to50,StronglyAgree,Both,Very,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,Some,Most,Unclear,Years11to25,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,Neither,Moderate,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,Neither,Years26to50,StronglyAgree,Both,Somewhat,,Neither,SomewhatAgree,Moderate,SomewhatAgree,YesSomeSure,DK,Some,Most,Unwilling,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,YesVerySure,,,,,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,All,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,ALot,Other,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Few,Neither,Moderate,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Extremely,Years51to100,StronglyAgree,Both,Very,,StronglyDisagree,SomewhatAgree,Little,SomewhatAgree,YesExtrSure,Both,ALot,Most,Success,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Other,Very,Climate change is fueled by greed of humans and environmental factors that may aid to the issue are all natural processes that already happened under cyclic conditions. ,Neither,SomewhatAgree,DK,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,Neither,Neither,Now,StronglyAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,ALot,Most,Unwilling,Now,Some,Humans,Somewhat,Humans,Unwilling,SomewhatAgree,,SomewhatAgree,SomewhatAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesVerySure,Neither
1,1,,Very,Now,,Humans,Very,,Neither,,GreatDeal,,YesExtrSure,,,,,Now,ALot,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,All,Neither,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Neither,Years26to50,StronglyAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,DK,StronglyAgree,YesExtrSure,DK,Some,Most,Unclear,Years51to100,Little,ExtentUnknown,Very,DK,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,StronglyAgree,Somewhat,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,MostlyNot,Years51to100,DK,Other,Neither,A balance between human and natural causes,SomewhatDisagree,SomewhatDisagree,GreatDeal,DK,YesSomeSure,DK,Little,DK,CantReduce,Years26to50,NotAtAll,Humans,Very,Humans,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Some,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Years10,ALot,Both,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Some,Neither,Moderate,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Years51to100,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,StronglyAgree,Moderate,StronglyAgree,YesExtrSure,Humans,Some,Most,Unwilling,Years26to50,Some,Humans,Somewhat,Humans,Unwilling,SomewhatAgree,,Neither,SomewhatAgree,SomewhatAgree,MostlyNot,Most,SomewhatAgree,GreatDeal,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,Humans,ALot,Most,Unwilling,Now,ALot,Humans,Very,Natural,Unclear,SomewhatAgree,,SomewhatAgree,SomewhatAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,Neither,Now,SomewhatAgree,Humans,Neither,,SomewhatAgree,SomewhatAgree,DK,SomewhatAgree,YesVerySure,DK,Some,Few,Unwilling,,,,,,,,,,,,,,,,,
1,1,DK,NotAtAll,Never,DK,Natural,NotAtAll,,Neither,SomewhatAgree,DK,DK,NoNotSure,DK,NotAtAll,Most,NotHappening,After100,NotAtAll,Humans,Somewhat,DK,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,StronglyAgree,Neither,Most,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,Some,All,Unclear,Now,Little,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,All,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Neither,Years26to50,SomewhatAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Little,SomewhatAgree,YesVerySure,Both,Some,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,SomewhatAgree,Neither,Years10,SomewhatAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,Neither,YesExtrSure,Both,Some,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,MostlyNot,Never,StronglyDisagree,Natural,NotVery,,Neither,StronglyAgree,Somewhat,DK,NoNotSure,NoConsensus,Little,Few,DontNeed,Years26to50,Little,Natural,Somewhat,Humans,DontNeed,StronglyDisagree,,Neither,SomewhatAgree,SomewhatAgree,Neither,Most,Neither,Little,YesNotSure,DK
1,0,StronglyAgree,Extremely,Years26to50,StronglyAgree,Both,Very,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Very,Years51to100,StronglyAgree,Humans,Very,,SomewhatAgree,SomewhatAgree,Moderate,SomewhatDisagree,YesExtrSure,Humans,Little,Some,Unwilling,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,DK,Very,Years11to25,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,DK,Little,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,SomewhatDisagree,Very,Years11to25,StronglyAgree,Humans,Very,,SomewhatAgree,,Little,,YesVerySure,Humans,Some,Some,Success,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Never,Little,Humans,Neither,Both,Success,SomewhatAgree,,Neither,StronglyAgree,SomewhatAgree,Neither,Some,Neither,Little,DK,Neither
1,1,StronglyAgree,Very,Years11to25,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,StronglyDisagree,StronglyAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,All,Unwilling,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,MostlyNot,After100,StronglyAgree,Both,Neither,,Neither,SomewhatAgree,Somewhat,StronglyAgree,YesExtrSure,Both,Little,Few,Unclear,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years10,Little,Humans,Very,Both,Unclear,StronglyAgree,,Neither,SomewhatAgree,SomewhatAgree,Very,DK,SomewhatAgree,DK,YesVerySure,SomewhatAgree
1,0,StronglyAgree,Neither,Years26to50,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatDisagree,Little,SomewhatAgree,YesExtrSure,Humans,Some,DK,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Years11to25,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,Some,DK,Unwilling,Now,Some,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,All,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Neither,Now,SomewhatAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,GreatDeal,Neither,YesNotSure,DK,Little,,Unwilling,,,,,,,,,,,,,,,,,
1,0,SomewhatAgree,Very,After100,StronglyAgree,Both,Somewhat,,SomewhatDisagree,SomewhatDisagree,DK,SomewhatAgree,YesVerySure,Humans,Some,DK,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,Humans,Some,All,Unclear,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,All,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,Some,All,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,MostlyNot,Years26to50,SomewhatDisagree,Both,Somewhat,,Neither,SomewhatAgree,GreatDeal,SomewhatAgree,YesVerySure,Both,Little,Some,Unclear,Now,Little,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Neither,Most,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
1,1,SomewhatDisagree,NotAtAll,NotHappening,SomewhatDisagree,NotHappening,NotAtAll,,SomewhatDisagree,SomewhatAgree,NotHappening,SomewhatDisagree,NoSomeSure,NotHappening,NotAtAll,Most,NotHappening,NotHappening,Little,NotHappening,NotAtAll,DK,NotHappening,SomewhatDisagree,,Neither,SomewhatAgree,SomewhatAgree,NotAtAll,Some,SomewhatDisagree,NotHappening,NoSomeSure,SomewhatDisagree
0,1,,,,,,,,,,,,,,,,,Years11to25,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatDisagree,Moderate,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Neither,Now,StronglyAgree,Both,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,DK,Some,Most,Unclear,Now,Little,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unwilling,,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,Very,Years26to50,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,Some,Most,Unclear,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Years11to25,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Both,Some,Most,Unclear,Now,Little,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Neither,Years51to100,StronglyAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,Somewhat,SomewhatAgree,YesSomeSure,DK,Some,Most,Unwilling,,,,,,,,,,,,,,,,,
1,1,SomewhatDisagree,Neither,Years10,SomewhatAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,SomewhatAgree,YesSomeSure,Humans,Little,Most,Unclear,Years10,Little,Humans,Somewhat,Humans,Unclear,StronglyAgree,,Neither,StronglyAgree,SomewhatAgree,Very,DK,StronglyAgree,GreatDeal,,StronglyAgree
1,1,StronglyAgree,Very,Now,StronglyAgree,Both,Very,,StronglyDisagree,SomewhatDisagree,GreatDeal,StronglyAgree,YesExtrSure,Both,Some,Most,Unclear,Now,Some,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Neither,Years11to25,StronglyAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,Little,SomewhatAgree,YesVerySure,Humans,Little,,Unwilling,Years10,Little,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Very,Years51to100,SomewhatAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,Humans,ALot,All,Unwilling,Years11to25,ALot,Humans,Somewhat,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Some,Neither,GreatDeal,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Very,Now,StronglyAgree,Both,Somewhat,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,DK,Some,Most,Unclear,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Neither,Years51to100,SomewhatAgree,Humans,Somewhat,,Neither,SomewhatAgree,Somewhat,SomewhatDisagree,YesNotSure,DK,Little,DK,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyDisagree,Neither,Years11to25,DK,Humans,Somewhat,,SomewhatDisagree,StronglyAgree,GreatDeal,DK,YesExtrSure,Humans,Some,Some,Unwilling,Years26to50,Some,Humans,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Somewhat,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,StronglyDisagree,GreatDeal,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Extremely,Now,StronglyAgree,Humans,Very,,Neither,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,Humans,ALot,Most,Unwilling,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YesExtrSure,
1,0,Neither,Neither,After100,Neither,ExtentUnknown,Somewhat,,Neither,SomewhatAgree,Little,SomewhatDisagree,YesSomeSure,Both,Some,Some,Unwilling,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Very,Years10,StronglyAgree,Both,Very,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,Little,Some,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Years10,StronglyAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,GreatDeal,StronglyAgree,YesVerySure,Humans,Little,DK,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Now,StronglyAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Years26to50,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unwilling,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Extremely,Now,SomewhatAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,Humans,ALot,Most,Unwilling,,,,,,,,,,,,,,,,,
0,1,,,,,,,,,,,,,,,,,Years11to25,Little,Both,Very,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Neither,,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,1,,NotAtAll,Years51to100,,Humans,Somewhat,,SomewhatAgree,,Moderate,,YesExtrSure,,,,,Years26to50,Little,Humans,Neither,Both,Unwilling,StronglyAgree,,SomewhatAgree,StronglyAgree,SomewhatAgree,NotAtAll,Most,Neither,Little,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Years51to100,Little,Both,Neither,Humans,Unclear,SomewhatAgree,,StronglyAgree,SomewhatAgree,SomewhatAgree,MostlyNot,Most,SomewhatAgree,Little,YesVerySure,SomewhatDisagree
1,1,StronglyAgree,Very,Years10,StronglyAgree,Other,Very,"""Climate change"" is natural to an extent, however human activity is accelerating that change at a pace that is unprecedented and unsustainable.",SomewhatDisagree,SomewhatAgree,GreatDeal,SomewhatAgree,YesExtrSure,DK,ALot,Most,Unwilling,Now,ALot,Humans,Very,Humans,Success,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,All,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Years51to100,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,DK,StronglyAgree,YesVerySure,Humans,Some,Most,Unclear,Years11to25,Some,Humans,Somewhat,Humans,Unclear,SomewhatAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,Moderate,YesVerySure,SomewhatAgree
1,1,StronglyAgree,Neither,Now,StronglyAgree,Both,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Little,Most,Unclear,Now,Little,Humans,Somewhat,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Neither,All,SomewhatAgree,Moderate,YesVerySure,StronglyAgree
1,1,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Both,ALot,All,Unclear,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatDisagree,Extremely,,StronglyAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,Very,Now,Neither,Humans,Very,,StronglyDisagree,Neither,Moderate,Neither,YesExtrSure,Humans,ALot,Most,Unclear,Now,ALot,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,SomewhatDisagree,StronglyAgree,SomewhatAgree,Very,All,SomewhatDisagree,Moderate,YesExtrSure,StronglyAgree
1,1,SomewhatDisagree,Very,Years26to50,SomewhatAgree,Humans,Somewhat,,SomewhatAgree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,Some,Some,Success,Now,Some,Humans,Very,Humans,Success,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Neither,Now,StronglyAgree,Natural,Somewhat,,StronglyDisagree,SomewhatAgree,Little,SomewhatAgree,YesVerySure,Natural,ALot,Most,DontNeed,,,,,,,,,,,,,,,,,
1,0,StronglyAgree,Very,Years11to25,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,StronglyAgree,YesExtrSure,Humans,Some,All,Unwilling,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Extremely,Now,StronglyAgree,Humans,Very,,Neither,SomewhatAgree,GreatDeal,StronglyAgree,YesExtrSure,Humans,ALot,Most,Unclear,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyAgree,StronglyAgree,SomewhatAgree,Extremely,Most,Neither,GreatDeal,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,Extremely,Years26to50,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,ALot,All,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Extremely,Years26to50,StronglyAgree,Humans,Very,,StronglyDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesExtrSure,Humans,ALot,,Unclear,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,SomewhatDisagree,StronglyDisagree,SomewhatAgree,Very,Most,SomewhatDisagree,Moderate,YesExtrSure,SomewhatAgree
0,1,,,,,,,,,,,,,,,,,Years10,Little,Humans,Neither,Humans,CantReduce,SomewhatAgree,,Neither,StronglyAgree,SomewhatAgree,MostlyNot,Some,SomewhatAgree,Moderate,YesSomeSure,StronglyAgree
1,1,SomewhatAgree,Neither,Now,SomewhatAgree,Humans,Neither,,Neither,SomewhatAgree,Moderate,SomewhatDisagree,YesSomeSure,Humans,NotAtAll,Most,Unclear,Now,Little,Humans,Somewhat,Humans,Unwilling,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,Neither,Moderate,YesExtrSure,SomewhatAgree
0,1,,,,,,,,,,,,,,,,,Years10,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatDisagree,Very,,StronglyDisagree,Moderate,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Neither,Years11to25,StronglyAgree,Humans,Somewhat,,SomewhatDisagree,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Both,ALot,Some,Unclear,,,,,,,,,,,,,,,,,
1,1,Neither,MostlyNot,Now,Neither,Both,Somewhat,,Neither,Neither,GreatDeal,Neither,YesNotSure,DK,NotAtAll,DK,Unwilling,Now,Little,Humans,Very,Both,Unclear,StronglyAgree,,StronglyAgree,StronglyAgree,StronglyAgree,Very,Few,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
0,1,,,,,,,,,,,,,,,,,Now,ALot,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Extremely,Most,StronglyAgree,Moderate,YesExtrSure,StronglyAgree
1,0,StronglyAgree,Very,Years10,SomewhatAgree,Humans,Very,,SomewhatDisagree,SomewhatAgree,Moderate,Neither,YesExtrSure,Humans,Some,Most,Unclear,,,,,,,,,,,,,,,,,
1,1,StronglyAgree,Very,Years10,StronglyAgree,Humans,Somewhat,,StronglyDisagree,SomewhatAgree,Moderate,StronglyAgree,YesVerySure,Humans,Some,All,Unclear,Now,Some,Humans,Very,Humans,Unclear,StronglyAgree,,StronglyDisagree,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,StronglyAgree
1,1,StronglyAgree,Very,Years11to25,SomewhatAgree,Humans,Somewhat,,Neither,SomewhatAgree,Moderate,SomewhatAgree,YesVerySure,Humans,Some,Most,Unclear,Now,Some,Humans,Very,Humans,Unclear,SomewhatAgree,,Neither,StronglyAgree,SomewhatAgree,Very,Most,SomewhatAgree,GreatDeal,YesExtrSure,SomewhatAgree
