took_pre_CC,took_post_CC,CCPre_ScientistsWhy_pre,CCPre_ScientistsWhether_pre,CCPre_Happening_pre,CCPre_Causes_pre,CCPre_Worried_pre,CCPre_ConsensusCause_pre,CCPre_Thought_pre,CCPost_Worried_post,CCPost_ScientistsWhy_post,CCPost_Validation_post,CCPost_ScientistsWhether_post,CCPost_Thought_post,CCPost_Causes_post,CCPost_ConsensusCause_post,CCPost_Happening_post,CCPost_ChangedMe_post
1,1,SomewhatDisagree,StronglyAgree,YesSomeSure,HumNat,Somewhat,Both,Little,NotVery,SomewhatDisagree,SomewhatDisagree,SomewhatAgree,Little,HumNat,Both,YesSomeSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,NotVery,DK,Little,Neither,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,DK,YesVerySure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Very,DK,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesSomeSure,EqualHumNat,Very,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,NotVery,Humans,Little,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Both,NotAtAll,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,EqualHumNat,Both,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,,YesExtrSure,HumNat,Very,Humans,ALot,Very,,SomewhatDisagree,,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,EqualHumNat,Somewhat,Humans,Some,Very,Neither,Neither,Neither,ALot,,Both,,StronglyAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,DK,YesExtrSure,Neither
1,0,,,YesSomeSure,HumNat,Very,,,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,Very,SomewhatAgree,SomewhatDisagree,StronglyAgree,Some,HumNat,DK,YesExtrSure,SomewhatDisagree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,Neither,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesVerySure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,NatHum,Both,YesVerySure,StronglyAgree
1,0,SomewhatDisagree,DK,YesSomeSure,NatHum,Neither,DK,Some,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Neither,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Very,Humans,ALot,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesExtrSure,Neither
1,1,,,,,,,,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Both,YesVerySure,Neither
1,1,Neither,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,Humans,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesVerySure,Neither
1,1,SomewhatAgree,SomewhatDisagree,YesExtrSure,HumNat,Very,Both,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,DK,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Humans,YesVerySure,Neither
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,DK,Little,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,EqualHumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,StronglyAgree,YesSomeSure,NatHum,NotAtAll,Natural,Some,Neither,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,SomewhatAgree,YesVerySure,HumNat,Very,Both,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
0,1,,,,,,,,Very,StronglyAgree,SomewhatDisagree,StronglyAgree,ALot,HumNat,Both,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,,StronglyDisagree,SomewhatAgree,Some,HumNat,Both,YesVerySure,SomewhatAgree
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesVerySure,NatHum,Somewhat,Both,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,EqualHumNat,Humans,YesVerySure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,NatHum,Neither,Both,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,StronglyAgree
1,0,SomewhatAgree,SomewhatAgree,YesNotSure,HumNat,Somewhat,DK,NotAtAll,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,StronglyAgree,SomewhatAgree,YesVerySure,NatHum,Somewhat,Natural,Some,Somewhat,Neither,SomewhatAgree,SomewhatAgree,Some,NatHum,Natural,YesVerySure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,DK,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,DK,YesVerySure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,DK,Neither,DK,HumNat,Neither,Humans,NotAtAll,Neither,Neither,SomewhatAgree,SomewhatAgree,Little,HumNat,Both,DK,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,,,YesSomeSure,EqualHumNat,Somewhat,,,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Both,YesSomeSure,Neither
0,1,,,,,,,,Very,SomewhatAgree,Neither,Neither,Little,EqualHumNat,Humans,YesVerySure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,DK,Some,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,EqualHumNat,Both,YesVerySure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,Neither,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,DK,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Both,YesExtrSure,StronglyAgree
1,0,,,YesVerySure,,,,,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,EqualHumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,EqualHumNat,Humans,YesExtrSure,StronglyAgree
1,1,Neither,SomewhatDisagree,YesExtrSure,EqualHumNat,Somewhat,DK,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Very,DK,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,ALot,HumNat,Humans,YesVerySure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,NatHum,Very,DK,Some,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,ALot,NatHum,Both,YesExtrSure,SomewhatDisagree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,NatAct,Very,Humans,ALot,,,,,,,,,
1,0,Neither,Neither,YesVerySure,Unknowable,Very,Humans,Some,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,DK,NatHum,Neither,Humans,Little,Neither,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,EqualHumNat,Humans,YesNotSure,SomewhatDisagree
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Very,SomewhatDisagree,SomewhatAgree,StronglyAgree,Some,HumNat,NoConsensus,YesVerySure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,0,,,,,,,,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,Some,Very,StronglyAgree,StronglyAgree,StronglyAgree,Some,NatAct,Humans,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,EqualHumNat,Somewhat,Humans,Some,,,,,,,,,
0,1,,,,,,,,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,StronglyAgree,YesSomeSure,NotHappening,Somewhat,Humans,Little,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,Neither,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Little,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,SomewhatAgree
1,0,,,YesNotSure,HumNat,Somewhat,,,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Both,Some,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Both,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,,,,,HumNat,,YesExtrSure,
1,1,Neither,SomewhatAgree,YesVerySure,NatHum,Somewhat,DK,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,StronglyAgree
1,0,SomewhatAgree,SomewhatAgree,YesVerySure,NatAct,Neither,Natural,Some,,,,,,,,,
1,1,,,YesExtrSure,EqualHumNat,Somewhat,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Both,YesExtrSure,StronglyDisagree
1,0,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,0,,,YesExtrSure,NatHum,Somewhat,,,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Both,Some,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Natural,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,Neither,YesExtrSure,HumNat,Very,Humans,Little,Very,Neither,SomewhatDisagree,SomewhatAgree,Some,HumNat,NotHappening,YesExtrSure,SomewhatDisagree
1,1,StronglyAgree,StronglyAgree,YesSomeSure,EqualHumNat,Somewhat,Both,Some,Somewhat,Neither,SomewhatAgree,SomewhatAgree,Little,EqualHumNat,DK,DK,SomewhatAgree
1,0,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Little,,,,,,,,,
1,0,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Very,Both,ALot,,,,,,,,,
1,1,Neither,SomewhatAgree,YesSomeSure,NatHum,NotVery,Humans,Little,NotVery,SomewhatAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Neither,Both,NotAtAll,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,SomewhatAgree
1,0,Neither,Neither,YesExtrSure,NatHum,Very,NoConsensus,Little,,,,,,,,,
1,1,StronglyAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,DK,Some,Neither,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesSomeSure,SomewhatAgree
1,0,,,YesSomeSure,HumNat,Somewhat,,,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,Neither,Neither,YesVerySure,NatHum,NotVery,Both,Little,Very,StronglyAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesVerySure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,DK,Some,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesVerySure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Neither,DK,Little,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,Neither
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,Unknowable,Very,Humans,Some,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Both,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Both,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatDisagree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,DK,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatDisagree,YesExtrSure,EqualHumNat,Somewhat,DK,Some,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatDisagree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
0,1,,,,,,,,Very,,Neither,,ALot,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Very,DK,Some,,,,,,,,,
1,0,,,,,,,,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,EqualHumNat,Very,Both,ALot,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Both,Some,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,StronglyAgree
1,1,,,,EqualHumNat,Very,,,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,EqualHumNat,Both,YesExtrSure,StronglyAgree
1,0,,,YesExtrSure,HumNat,Somewhat,,,,,,,,,,,
1,1,Neither,Neither,YesSomeSure,HumNat,Neither,Both,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Little,HumNat,Both,YesSomeSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,ALot,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,EqualHumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,NotVery,Humans,Little,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,StronglyAgree,YesNotSure,NatHum,Somewhat,Both,Little,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesNotSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,Other,Very,DK,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,0,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Neither,Humans,Some,,,,,,,,,
1,1,DK,DK,YesVerySure,HumNat,Somewhat,Humans,Some,Somewhat,SomewhatAgree,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesSomeSure,SomewhatAgree
1,1,Neither,StronglyAgree,YesSomeSure,HumNat,Somewhat,DK,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,NoVerySure,Other,Neither,Other,Some,Neither,Neither,Neither,SomewhatDisagree,Some,EqualHumNat,NoConsensus,NoExtrSure,StronglyDisagree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Very,Humans,Some,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,SomewhatDisagree,SomewhatAgree,YesNotSure,EqualHumNat,Neither,Both,Little,,,,,,,,,
1,0,Neither,StronglyAgree,,HumNat,Somewhat,DK,Little,,,,,,,,,
1,1,Neither,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Little,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesNotSure,HumNat,Neither,Other,Some,Somewhat,Neither,Neither,SomewhatDisagree,Some,HumNat,Humans,YesVerySure,StronglyAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,NotAtAll,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Other,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,NotVery,Neither,SomewhatDisagree,SomewhatDisagree,Some,NatHum,Humans,YesVerySure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,StronglyAgree
1,0,StronglyAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,0,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,StronglyAgree,SomewhatAgree,YesVerySure,HumNat,Somewhat,Humans,ALot,Very,SomewhatAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesVerySure,Neither
1,1,,,YesExtrSure,,,,,Very,,,,,HumNat,,YesExtrSure,
1,1,StronglyAgree,StronglyAgree,YesVerySure,EqualHumNat,Neither,Both,NotAtAll,NotVery,StronglyAgree,SomewhatAgree,StronglyAgree,Little,NatHum,Natural,YesNotSure,StronglyDisagree
1,0,SomewhatDisagree,SomewhatDisagree,YesExtrSure,EqualHumNat,Neither,Both,Some,,,,,,,,,
1,0,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Little,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,HumNat,Very,Both,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,Neither
1,0,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,NotVery,Humans,Some,,,,,,,,,
1,0,Neither,Neither,DK,HumNat,Neither,Both,NotAtAll,,,,,,,,,
1,1,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Both,ALot,Very,SomewhatAgree,SomewhatAgree,SomewhatAgree,ALot,EqualHumNat,Both,YesExtrSure,Neither
1,1,SomewhatAgree,StronglyAgree,YesSomeSure,HumNat,Somewhat,Humans,Little,Somewhat,SomewhatDisagree,SomewhatAgree,StronglyDisagree,Little,HumNat,DK,YesSomeSure,Neither
1,0,SomewhatAgree,SomewhatAgree,YesSomeSure,HumNat,Somewhat,Humans,Some,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,SomewhatDisagree
1,0,,,,,,,,,,,,,,,,
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,ALot,HumNat,Humans,YesExtrSure,StronglyDisagree
1,1,SomewhatAgree,StronglyAgree,YesVerySure,HumNat,Somewhat,Humans,Little,Somewhat,SomewhatAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesVerySure,Neither
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Humans,Some,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,StronglyAgree
1,1,StronglyAgree,StronglyAgree,YesExtrSure,HumNat,Somewhat,Natural,Some,NotVery,StronglyAgree,StronglyAgree,StronglyAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,1,StronglyAgree,StronglyAgree,YesVerySure,HumNat,Very,Both,ALot,Very,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Both,YesExtrSure,StronglyAgree
1,0,SomewhatAgree,StronglyAgree,YesExtrSure,HumNat,Very,Humans,ALot,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Little,Very,Neither,SomewhatAgree,SomewhatAgree,Some,HumNat,Humans,YesExtrSure,SomewhatAgree
1,0,StronglyAgree,SomewhatAgree,YesExtrSure,HumNat,Very,Humans,Some,,,,,,,,,
1,1,SomewhatAgree,SomewhatAgree,YesVerySure,EqualHumNat,Somewhat,Both,Some,Somewhat,StronglyAgree,SomewhatAgree,StronglyAgree,Little,HumNat,Humans,YesExtrSure,SomewhatAgree
